season,competition,team,rating
2025,DED,PSV,2093
2025,DED,Feyenoord Rotterdam,2028
2025,DED,AFC Ajax,1937
2025,DED,AZ,1917
2025,DED,FC Twente '65,1838
2025,DED,FC Utrecht,1825
2025,DED,Go Ahead Eagles,1763
2025,DED,NEC,1741
2025,DED,Sparta Rotterdam,1715
2025,DED,PEC Zwolle,1691
2025,DED,FC Groningen,1659
2025,DED,SC Heerenveen,1668
2025,DED,Fortuna Sittard,1630
2025,DED,Heracles Almelo,1660
2025,DED,SBV Excelsior,1573
2025,DED,Telstar 1963,1486
2025,DED,FC Volendam,1538
2025,DED,NAC Breda,1530
2025,PL,Arsenal FC,2270
2025,PL,Manchester City FC,2243
2025,PL,Aston Villa FC,2167
2025,PL,Chelsea FC,2184
2025,PL,Manchester United FC,2154
2025,PL,Brentford FC,2038
2025,PL,Liverpool FC,2273
2025,PL,AFC Bournemouth,2054
2025,PL,Everton FC,2027
2025,PL,Newcastle United FC,2154
2025,PL,Sunderland AFC,1735
2025,PL,Brighton & Hove Albion FC,2112
2025,PL,Leeds United FC,1935
2025,PL,Fulham FC,2011
2025,PL,Tottenham Hotspur FC,2037
2025,PL,Crystal Palace FC,2147
2025,PL,Nottingham Forest FC,2033
2025,PL,West Ham United FC,1984
2025,PL,Burnley FC,1952
2025,PL,Wolverhampton Wanderers FC,1987
2025,BL1,Bayer 04 Leverkusen,2158
2025,BL1,FC Bayern München,2257
2025,BL1,Borussia Dortmund,2181
2025,BL1,RB Leipzig,2029
2025,BL1,VfB Stuttgart,2045
2025,BL1,Eintracht Frankfurt,2059
2025,BL1,SC Freiburg,1976
2025,BL1,1. FSV Mainz 05,2010
2025,BL1,1. FC Heidenheim 1846,1839
2025,BL1,TSG 1899 Hoffenheim,1889
2025,BL1,1. FC Union Berlin,1890
2025,BL1,SV Werder Bremen,1971
2025,BL1,VfL Wolfsburg,1947
2025,BL1,Borussia Mönchengladbach,1923
2025,BL1,FC Augsburg,1907
2025,BL1,FC St. Pauli 1910,1855
2025,BL1,Hamburger SV,1835
2025,BL1,1. FC Köln,1839
2025,SA,FC Internazionale Milano,2248
2025,SA,AC Milan,2111
2025,SA,Como 1907,1902
2025,SA,AS Roma,2118
2025,SA,SSC Napoli,2118
2025,SA,Juventus FC,2082
2025,SA,Atalanta BC,2126
2025,SA,SS Lazio,2070
2025,SA,US Sassuolo Calcio,1828
2025,SA,Bologna FC 1909,2062
2025,SA,Parma Calcio 1913,1845
2025,SA,Genoa CFC,1916
2025,SA,ACF Fiorentina,2024
2025,SA,Udinese Calcio,1862
2025,SA,Cagliari Calcio,1839
2025,SA,US Cremonese,1755
2025,SA,US Lecce,1808
2025,SA,Torino FC,1920
